stateName,agencyName,year,totalSpending,prevTotalSpending,yoyPCT
Alabama,Election Assistance Commission,2025,272727,1000000,-72.7273
Alabama,Environmental Protection Agency,2018,71160753.45,NULL,NULL
Alabama,Environmental Protection Agency,2019,67112518.69,71160753.45,-5.688858
Alabama,Environmental Protection Agency,2020,72619480.94,67112518.69,8.205566
Alabama,Environmental Protection Agency,2021,70986296.67,72619480.94,-2.248961
Alabama,Environmental Protection Agency,2022,177998700.7,70986296.67,150.750791
Alabama,Environmental Protection Agency,2023,142232433,177998700.7,-20.093555
Alabama,Environmental Protection Agency,2024,197361427.1,142232433,38.759791
Alabama,Environmental Protection Agency,2025,246716622.3,197361427.1,25.007518
Alabama,Equal Employment Opportunity Commission,2019,43949.8,NULL,NULL
Alabama,Equal Employment Opportunity Commission,2020,800,43949.8,-98.179741
Alabama,Equal Employment Opportunity Commission,2021,19785,800,2373.125
Alabama,Equal Employment Opportunity Commission,2022,21270,19785,7.505686
Alabama,Executive Office of the President,2025,1343516,NULL,NULL
Alabama,Export-Import Bank of the United States,2018,0,NULL,NULL
Alabama,Export-Import Bank of the United States,2019,0,0,NULL
Alabama,Export-Import Bank of the United States,2020,0,0,NULL
Alabama,Export-Import Bank of the United States,2021,0,0,NULL
Alabama,Export-Import Bank of the United States,2022,0,0,NULL
Alabama,Export-Import Bank of the United States,2023,0,0,NULL
Alabama,Export-Import Bank of the United States,2024,0,0,NULL
Alabama,Export-Import Bank of the United States,2025,0,0,NULL
Alabama,Federal Communications Commission,2019,1584,NULL,NULL
Alabama,Federal Communications Commission,2020,526246186.8,1584,33222512.8
Alabama,Federal Communications Commission,2021,108516763.9,526246186.8,-79.379087
Alabama,Federal Communications Commission,2022,504955583.5,108516763.9,365.324955
Alabama,Federal Communications Commission,2023,174052877.9,504955583.5,-65.531051
Alabama,Federal Communications Commission,2024,240071722.4,174052877.9,37.930337
Alabama,Federal Communications Commission,2025,111662287.4,240071722.4,-53.487946
Alabama,Federal Trade Commission,2019,0,NULL,NULL
Alabama,Federal Trade Commission,2022,25000,0,NULL
Alabama,Federal Trade Commission,2023,0,25000,-100
Alabama,Gulf Coast Ecosystem Restoration Council,2019,3908500,NULL,NULL
Alabama,Gulf Coast Ecosystem Restoration Council,2020,71527240,3908500,1730.043239
Alabama,Gulf Coast Ecosystem Restoration Council,2021,34562020,71527240,-51.679919
Alabama,Gulf Coast Ecosystem Restoration Council,2022,46124249,34562020,33.453568
Alabama,Gulf Coast Ecosystem Restoration Council,2023,30859659.35,46124249,-33.0945
Alabama,Gulf Coast Ecosystem Restoration Council,2024,54417320.11,30859659.35,76.338045
Alabama,Gulf Coast Ecosystem Restoration Council,2025,20071124.45,54417320.11,-63.116293
Alabama,Institute of Museum and Library Services,2019,2865131.56,NULL,NULL
Alabama,Institute of Museum and Library Services,2020,4212263.84,2865131.56,47.018164
Alabama,Institute of Museum and Library Services,2021,6418173.25,4212263.84,52.368737
Alabama,Institute of Museum and Library Services,2022,4120414.38,6418173.25,-35.800823
Alabama,Institute of Museum and Library Services,2023,3411691.92,4120414.38,-17.200271
Alabama,Institute of Museum and Library Services,2024,3284559.58,3411691.92,-3.726372
Alabama,Institute of Museum and Library Services,2025,3378292.59,3284559.58,2.853746
Alabama,National Aeronautics and Space Administration,2019,1619736196,NULL,NULL
Alabama,National Aeronautics and Space Administration,2020,1895047566,1619736196,16.997296
Alabama,National Aeronautics and Space Administration,2021,2060278431,1895047566,8.719087
Alabama,National Aeronautics and Space Administration,2022,2071280013,2060278431,0.533985
Alabama,National Aeronautics and Space Administration,2023,1840332675,2071280013,-11.149981
Alabama,National Aeronautics and Space Administration,2024,1829831444,1840332675,-0.570615
Alabama,National Aeronautics and Space Administration,2025,1904313065,1829831444,4.070408
Alabama,National Archives and Records Administration,2023,87480,NULL,NULL
Alabama,National Archives and Records Administration,2025,90451,87480,3.396204
Alabama,National Credit Union Administration,2019,33500,NULL,NULL
Alabama,National Credit Union Administration,2020,12500,33500,-62.686567
Alabama,National Credit Union Administration,2021,7000,12500,-44
Alabama,National Credit Union Administration,2022,66347.65,7000,847.823571
Alabama,National Credit Union Administration,2023,160000,66347.65,141.153982
Alabama,National Credit Union Administration,2024,97616.18,160000,-38.989887
Alabama,National Endowment for the Arts,2019,812889.58,NULL,NULL
Alabama,National Endowment for the Arts,2020,2372800,812889.58,191.896963
Alabama,National Endowment for the Arts,2021,2057595.69,2372800,-13.284065
Alabama,National Endowment for the Arts,2022,2198725,2057595.69,6.858942
Alabama,National Endowment for the Arts,2023,1548670.35,2198725,-29.565072
Alabama,National Endowment for the Arts,2024,1602948.99,1548670.35,3.504854
