National Aeronautics and Space Administration,2025,TX,Texas,1553683009.96
Department of Energy,2025,NV,Nevada,1488597495.40
Department of Education,2025,KY,Kentucky,1487351050.89
Agency for International Development,2025,DC,District of Columbia,1455857787.91
Department of Education,2025,MO,Missouri,1449212312.72
Department of Energy,2025,DC,District of Columbia,1445084010.48
Pension Benefit Guaranty Corporation,2025,CA,California,1404749381.36
Department of Education,2025,SC,South Carolina,1362990967.59
Department of Education,2025,CO,Colorado,1337265493.30
National Aeronautics and Space Administration,2025,FL,Florida,1328154376.22
Department of Education,2025,MN,Minnesota,1323394065.64
Department of Veterans Affairs,2025,KS,Kansas,1316120760.70
Department of Education,2025,UT,Utah,1308533269.36
Environmental Protection Agency,2025,IL,Illinois,1286973922.62
Department of Education,2025,WI,Wisconsin,1281782782.65
Department of Education,2025,OK,Oklahoma,1252245891.80
Department of Veterans Affairs,2025,NJ,New Jersey,1172647211.23
Department of Veterans Affairs,2025,MA,Massachusetts,1150570286.83
Department of Energy,2025,FL,Florida,1129409062.74
Department of Energy,2025,IN,Indiana,1111045071.60
Environmental Protection Agency,2025,PA,Pennsylvania,1094230880.48
Department of Veterans Affairs,2025,DC,District of Columbia,1085574188.12
Department of Education,2025,MS,Mississippi,1084134397.56
Railroad Retirement Board,2025,TX,Texas,1054070382.62
National Aeronautics and Space Administration,2025,CO,Colorado,1052305125.12
Department of Energy,2025,MD,Maryland,1033464527.00
Environmental Protection Agency,2025,TX,Texas,1014517513.20
Environmental Protection Agency,2025,VA,Virginia,1000726673.41
Department of Energy,2025,VA,Virginia,987339907.05
National Science Foundation,2025,CA,California,969784411.60
Department of Education,2025,OR,Oregon,969616852.92
Department of Energy,2025,LA,Louisiana,969413978.35
Department of Energy,2025,MT,Montana,959689750.75
Department of Energy,2025,MA,Massachusetts,958908510.81
Pension Benefit Guaranty Corporation,2025,PA,Pennsylvania,943016710.03
Department of Education,2025,CT,Connecticut,926680146.28
Department of Education,2025,AR,Arkansas,909913905.84
Railroad Retirement Board,2025,IL,Illinois,880190132.78
Department of Energy,2025,NC,North Carolina,867077968.84
Environmental Protection Agency,2025,OH,Ohio,866476264.00
Department of Veterans Affairs,2025,PA,Pennsylvania,861539421.52
Railroad Retirement Board,2025,FL,Florida,837673782.12
National Aeronautics and Space Administration,2025,WA,Washington,807194912.19
Railroad Retirement Board,2025,PA,Pennsylvania,786940799.63
Environmental Protection Agency,2025,NJ,New Jersey,785113437.49
Environmental Protection Agency,2025,CT,Connecticut,783393818.86
Department of Education,2025,NM,New Mexico,770802872.00
Department of Energy,2025,WV,West Virginia,761504796.45
Environmental Protection Agency,2025,CO,Colorado,756043906.34
Department of Education,2025,KS,Kansas,755342188.50
Department of Education,2025,IA,Iowa,718934746.43
Department of Energy,2025,NJ,New Jersey,660072476.81
Environmental Protection Agency,2025,MA,Massachusetts,654581946.65
Department of Education,2025,NV,Nevada,644231818.80
Department of Education,2025,NH,New Hampshire,642202065.68
Pension Benefit Guaranty Corporation,2025,MI,Michigan,636466905.50
Railroad Retirement Board,2025,CA,California,633019339.76
Railroad Retirement Board,2025,NY,New York,626191602.47
Department of Education,2025,NE,Nebraska,614343063.57
Department of Veterans Affairs,2025,TN,Tennessee,599909498.90
Department of Education,2025,WV,West Virginia,592324830.27
Environmental Protection Agency,2025,WA,Washington,585251955.25
Department of Veterans Affairs,2025,NY,New York,584275848.36
Department of Veterans Affairs,2025,NC,North Carolina,583680847.82
Department of Energy,2025,PR,Puerto Rico,575262172.78
National Science Foundation,2025,NY,New York,571661900.78
National Science Foundation,2025,TX,Texas,570900376.96
Department of Energy,2025,AZ,Arizona,550783333.42
National Science Foundation,2025,MA,Massachusetts,549143627.00
National Science Foundation,2025,VA,Virginia,544867561.23
Railroad Retirement Board,2025,OH,Ohio,544474029.40
Environmental Protection Agency,2025,MN,Minnesota,542115382.13
Small Business Administration,2025,CA,California,526350268.11
Railroad Retirement Board,2025,MO,Missouri,518432347.59
Environmental Protection Agency,2025,AK,Alaska,515847456.30
Environmental Protection Agency,2025,MD,Maryland,515542496.57
Railroad Retirement Board,2025,NE,Nebraska,515364066.21
Environmental Protection Agency,2025,OR,Oregon,495769134.65
Department of Energy,2025,UT,Utah,490256549.65
Railroad Retirement Board,2025,GA,Georgia,486510432.31
Department of Veterans Affairs,2025,OH,Ohio,482037643.05
Federal Communications Commission,2025,NE,Nebraska,479686196.67
Environmental Protection Agency,2025,MI,Michigan,477885395.26
Department of Education,2025,ID,Idaho,464084929.85
Environmental Protection Agency,2025,NE,Nebraska,461655846.67
National Science Foundation,2025,CO,Colorado,460123738.33
Department of Energy,2025,KY,Kentucky,456219904.08
Department of Energy,2025,GA,Georgia,455289494.66
Federal Communications Commission,2025,CO,Colorado,445863226.56
Environmental Protection Agency,2025,GA,Georgia,442687971.66
Department of Education,2025,AK,Alaska,441891716.91
Social Security Administration,2025,VI,U.S. Virgin Islands,431701567.10
Railroad Retirement Board,2025,VA,Virginia,424993422.48
Department of Energy,2025,AL,Alabama,418267578.20
Railroad Retirement Board,2025,IN,Indiana,415043634.95
Federal Communications Commission,2025,WY,Wyoming,408900038.95
Environmental Protection Agency,2025,LA,Louisiana,408055455.59
Environmental Protection Agency,2025,TN,Tennessee,405070563.22
Department of Education,2025,HI,Hawaii,400568540.76
Department of Energy,2025,IA,Iowa,396618931.92
Securities and Exchange Commission,2025,DC,District of Columbia,391031387.57
Environmental Protection Agency,2025,WI,Wisconsin,387012055.84
Department of Veterans Affairs,2025,MN,Minnesota,382346733.11
Railroad Retirement Board,2025,KS,Kansas,380184533.25
Department of Energy,2025,AR,Arkansas,370271540.60
Department of Education,2025,SD,South Dakota,368235333.25
Department of Veterans Affairs,2025,AK,Alaska,367038387.88
Department of Education,2025,MT,Montana,365227454.37
Department of Veterans Affairs,2025,AZ,Arizona,357030460.84
Department of Veterans Affairs,2025,MI,Michigan,356684974.63
Environmental Protection Agency,2025,UT,Utah,354953601.94
Department of Education,2025,RI,Rhode Island,348986239.43
Railroad Retirement Board,2025,KY,Kentucky,348180892.86
Environmental Protection Agency,2025,FL,Florida,348060527.41
Social Security Administration,2025,GU,Guam,345340020.66
National Science Foundation,2025,IL,Illinois,343918010.70
Environmental Protection Agency,2025,DC,District of Columbia,342796732.33
Federal Communications Commission,2025,CA,California,341731666.72
Railroad Retirement Board,2025,MN,Minnesota,341132172.18
Environmental Protection Agency,2025,MO,Missouri,339504728.41
Department of Education,2025,ME,Maine,335570400.36
Railroad Retirement Board,2025,TN,Tennessee,331352004.58
Federal Communications Commission,2025,TX,Texas,328326971.31
Agency for International Development,2025,NC,North Carolina,325765608.00
Department of Energy,2025,OK,Oklahoma,323704467.90
Railroad Retirement Board,2025,MI,Michigan,317902276.14
Department of Veterans Affairs,2025,GA,Georgia,313086209.85
Department of Education,2025,ND,North Dakota,308268889.75
Department of Energy,2025,AK,Alaska,300154620.96
National Science Foundation,2025,PA,Pennsylvania,298758070.00
Department of Veterans Affairs,2025,SC,South Carolina,298389910.26
Environmental Protection Agency,2025,IA,Iowa,296513302.44
Railroad Retirement Board,2025,NJ,New Jersey,294830119.77
Department of State,2025,CA,California,294342378.35
Department of Veterans Affairs,2025,WA,Washington,294215507.03
Environmental Protection Agency,2025,DE,Delaware,291597689.66
Federal Communications Commission,2025,NV,Nevada,291190487.90
Department of Housing and Urban Development,2025,VA,Virginia,290822531.39
Environmental Protection Agency,2025,AZ,Arizona,287262580.78
Railroad Retirement Board,2025,AZ,Arizona,286449966.13
Department of Energy,2025,WI,Wisconsin,284107231.00
Environmental Protection Agency,2025,IN,Indiana,283868641.99
Department of Veterans Affairs,2025,MO,Missouri,283777136.46
Railroad Retirement Board,2025,WA,Washington,279727034.22
Environmental Protection Agency,2025,OK,Oklahoma,275006875.21
Environmental Protection Agency,2025,HI,Hawaii,272808026.98
Department of Education,2025,DE,Delaware,270308010.11
Railroad Retirement Board,2025,AR,Arkansas,269171055.50
Railroad Retirement Board,2025,NC,North Carolina,264298393.42
Federal Communications Commission,2025,AZ,Arizona,263635453.74
Small Business Administration,2025,FL,Florida,262959637.30
Department of Veterans Affairs,2025,WV,West Virginia,258576129.77
Railroad Retirement Board,2025,AL,Alabama,256680930.85
Pension Benefit Guaranty Corporation,2025,NJ,New Jersey,256595646.86
National Science Foundation,2025,FL,Florida,252003390.46
Railroad Retirement Board,2025,WI,Wisconsin,249859610.89
Railroad Retirement Board,2025,IA,Iowa,247673548.66
Environmental Protection Agency,2025,AL,Alabama,246716622.26
Railroad Retirement Board,2025,CO,Colorado,246405009.13
Department of Veterans Affairs,2025,AL,Alabama,245300248.25
Environmental Protection Agency,2025,PR,Puerto Rico,243977830.89
Federal Communications Commission,2025,NY,New York,240081125.92
National Science Foundation,2025,NC,North Carolina,239892710.44
National Science Foundation,2025,MI,Michigan,236916445.00
Environmental Protection Agency,2025,MS,Mississippi,234703972.14
Department of Energy,2025,MN,Minnesota,233333914.50
Railroad Retirement Board,2025,MD,Maryland,232822842.78
Railroad Retirement Board,2025,SC,South Carolina,232306386.98
National Science Foundation,2025,DC,District of Columbia,228772385.42
National Aeronautics and Space Administration,2025,OH,Ohio,226189415.72
U.S. Agency for Global Media,2025,DC,District of Columbia,224121255.61
National Science Foundation,2025,AZ,Arizona,224090211.63
Environmental Protection Agency,2025,SC,South Carolina,223523077.63
Environmental Protection Agency,2025,AR,Arkansas,222415531.95
Agency for International Development,2025,MD,Maryland,220276922.26
Environmental Protection Agency,2025,KS,Kansas,218706081.35
Department of Veterans Affairs,2025,IN,Indiana,216741710.61
Department of Education,2025,WY,Wyoming,212517111.38
Federal Communications Commission,2025,FL,Florida,211573142.04
National Science Foundation,2025,GA,Georgia,209231410.72
Department of Veterans Affairs,2025,NE,Nebraska,205521142.75
Environmental Protection Agency,2025,ME,Maine,203434709.05
Environmental Protection Agency,2025,KY,Kentucky,201612676.63
Railroad Retirement Board,2025,LA,Louisiana,201364006.66
Railroad Retirement Board,2025,WV,West Virginia,200177920.91
Pension Benefit Guaranty Corporation,2025,IL,Illinois,199957006.98
Environmental Protection Agency,2025,WV,West Virginia,199165329.20
Environmental Protection Agency,2025,MT,Montana,195995551.62
Federal Communications Commission,2025,TN,Tennessee,195450402.98
Environmental Protection Agency,2025,NM,New Mexico,195184871.73
Department of Energy,2025,MS,Mississippi,194571249.55
Pension Benefit Guaranty Corporation,2025,MD,Maryland,194509707.17
Environmental Protection Agency,2025,ID,Idaho,193793684.92
Department of Veterans Affairs,2025,OK,Oklahoma,193701497.77
Department of Education,2025,VT,Vermont,192839028.75
Pension Benefit Guaranty Corporation,2025,WA,Washington,192070448.96
Federal Communications Commission,2025,KS,Kansas,191380278.11
Railroad Retirement Board,2025,OR,Oregon,188997306.37
Agency for International Development,2025,VA,Virginia,188527093.60
Department of Veterans Affairs,2025,MS,Mississippi,187471207.02
National Aeronautics and Space Administration,2025,MS,Mississippi,186611583.65
National Science Foundation,2025,NJ,New Jersey,183866021.23
National Aeronautics and Space Administration,2025,DC,District of Columbia,182826938.47
National Science Foundation,2025,WA,Washington,182423823.83
National Aeronautics and Space Administration,2025,AZ,Arizona,181646385.40
National Aeronautics and Space Administration,2025,MA,Massachusetts,180354948.82
Railroad Retirement Board,2025,MT,Montana,179424030.97
Denali Commission,2025,AK,Alaska,177858558.69
National Science Foundation,2025,MD,Maryland,175872824.84
Pension Benefit Guaranty Corporation,2025,AK,Alaska,170263007.47
Department of Veterans Affairs,2025,NV,Nevada,169922749.55
Environmental Protection Agency,2025,NH,New Hampshire,168849038.39
Federal Communications Commission,2025,VA,Virginia,168282689.03
Department of Energy,2025,CT,Connecticut,166716347.28
Department of Veterans Affairs,2025,AR,Arkansas,166707245.34
National Science Foundation,2025,IN,Indiana,166483498.00
National Science Foundation,2025,OH,Ohio,164970508.85
Federal Communications Commission,2025,PA,Pennsylvania,162569576.88
Federal Communications Commission,2025,AK,Alaska,161591998.70
Department of Veterans Affairs,2025,CT,Connecticut,157063560.20
Department of State,2025,MD,Maryland,156806415.94
Federal Communications Commission,2025,OK,Oklahoma,155738375.16
Department of Energy,2025,OR,Oregon,155702227.83
Environmental Protection Agency,2025,VT,Vermont,155139427.72
Department of State,2025,FL,Florida,154274087.44
Environmental Protection Agency,2025,ND,North Dakota,152625017.53
Department of Energy,2025,KS,Kansas,151986907.71
National Aeronautics and Space Administration,2025,IN,Indiana,146733854.64
Railroad Retirement Board,2025,MS,Mississippi,141495415.56
Department of Energy,2025,NE,Nebraska,140472140.48
Department of Veterans Affairs,2025,LA,Louisiana,139295166.95
Railroad Retirement Board,2025,UT,Utah,138882109.71
Department of Veterans Affairs,2025,KY,Kentucky,137377713.21
Pension Benefit Guaranty Corporation,2025,FL,Florida,136611517.19
Environmental Protection Agency,2025,RI,Rhode Island,135085040.49
Railroad Retirement Board,2025,OK,Oklahoma,134837373.66
Railroad Retirement Board,2025,WY,Wyoming,133449806.67
Federal Communications Commission,2025,MI,Michigan,133444340.58
Railroad Retirement Board,2025,ID,Idaho,130488030.25
Department of Veterans Affairs,2025,UT,Utah,129612951.56
Pension Benefit Guaranty Corporation,2025,OR,Oregon,129180181.39
Federal Communications Commission,2025,WI,Wisconsin,127951216.00
National Aeronautics and Space Administration,2025,LA,Louisiana,127854965.98
Environmental Protection Agency,2025,NV,Nevada,126399984.95
National Science Foundation,2025,WI,Wisconsin,125938386.00
Federal Communications Commission,2025,NC,North Carolina,125263385.33
Federal Communications Commission,2025,PR,Puerto Rico,124814163.50
Pension Benefit Guaranty Corporation,2025,DC,District of Columbia,124398296.25
Office of Personnel Management,2025,DC,District of Columbia,122380950.21
